rate,date
0.00012164629,2007-01-01
0.00012169793,2007-02-01
0.00012162752,2007-03-01
0.00012145382,2007-04-01
0.00012104541,2007-05-01
0.00011981547,2007-06-01
0.00011976383,2007-07-01
0.0001197075,2007-08-01
0.01129006049,2007-09-01
0.01408323553,2007-10-01
0.01408323553,2007-11-01
0.01408323553,2007-12-01
0.01408323553,2008-01-01
0.01408323553,2008-02-01
0.01408323553,2008-03-01
0.01408323553,2008-04-01
0.01397491198,2008-05-01
0.01386658843,2008-06-01
0.01375826487,2008-07-01
0.01364994132,2008-08-01
0.01354161777,2008-09-01
0.01343329421,2008-10-01
0.01332497066,2008-11-01
0.01321664711,2008-12-01
0.01310832355,2009-01-01
49.8712,2009-02-01
147.68159090909,2009-03-01
264.20090909091,2009-04-01
320.79738095238,2009-05-01
322.355,2009-06-01
322.355,2009-07-01
322.355,2009-08-01
322.355,2009-09-01
322.355,2009-10-01
322.355,2009-11-01
322.355,2009-12-01
322.355,2010-01-01
322.355,2010-02-01
322.355,2010-03-01
322.355,2010-04-01
322.355,2010-05-01
322.355,2010-06-01
322.355,2010-07-01
322.355,2010-08-01
322.355,2010-09-01
322.355,2010-10-01
322.355,2010-11-01
322.355,2010-12-01
322.355,2011-01-01
322.355,2011-02-01
322.355,2011-03-01
322.355,2011-04-01
322.355,2011-05-01
322.355,2011-06-01
322.12471428571,2011-07-01
322.355,2011-08-01
322.355,2011-09-01
322.355,2011-10-01
322.355,2011-11-01
322.355,2011-12-01
322.355,2012-01-01
322.355,2012-02-01
322.355,2012-03-01
322.355,2012-04-01
322.355,2012-05-01
322.355,2012-06-01
322.355,2012-07-01
322.355,2012-08-01
322.355,2012-09-01
322.355,2012-10-01
322.355,2012-11-01
322.355,2012-12-01
322.355,2013-01-01
322.355,2013-02-01
322.355,2013-03-01
322.355,2013-04-01
322.355,2013-05-01
322.355,2013-06-01
322.355,2013-07-01
322.355,2013-08-01
322.355,2013-09-01
322.355,2013-10-01
322.355,2013-11-01
322.355,2013-12-01
322.28491304348,2014-01-01
322.355,2014-02-01
322.355,2014-03-01
322.355,2014-04-01
322.355,2014-05-01
322.355,2014-06-01
322.355,2014-07-01
322.355,2014-08-01
322.355,2014-09-01
322.355,2014-10-01
322.355,2014-11-01
322.355,2014-12-01
322.355,2015-01-01
322.355,2015-02-01
322.355,2015-03-01
322.355,2015-04-01
322.355,2015-05-01
322.355,2015-06-01
322.355,2015-07-01
322.355,2015-08-01
322.355,2015-09-01
322.355,2015-10-01
321.21043020036,2015-11-01
313.97883010262,2015-12-01
305.96684150513,2016-01-01
298.31903420753,2016-02-01
290.30704561003,2016-03-01
282.29505701254,2016-04-01
274.46515906499,2016-05-01
266.4531704675,2016-06-01
258.62327251995,2016-07-01
250.61128392246,2016-08-01
242.41720467503,2016-09-01
234.58730672748,2016-10-01
226.75740877993,2016-11-01
218.74542018244,2016-12-01
210.73343158495,2017-01-01
203.08562428734,2017-02-01
195.2557263398,2017-03-01
187.42582839225,2017-04-01
179.5959304447,2017-05-01
171.40185119726,2017-06-01
163.57195324972,2017-07-01
155.55996465222,2017-08-01
147.54797605473,2017-09-01
139.71807810718,2017-10-01
131.70608950969,2017-11-01
123.87619156214,2017-12-01
115.86420296465,2018-01-01
108.0343050171,2018-02-01
100.3864977195,2018-03-01
92.55659977195,2018-04-01
84.54461117446,2018-05-01
76.53262257697,2018-06-01
68.70272462942,2018-07-01
60.50864538198,2018-08-01
52.67874743444,2018-09-01
44.84884948689,2018-10-01
36.65477023945,2018-11-01
28.8248722919,2018-12-01
20.81288369441,2019-01-01
12.98298574686,2019-02-01
5.62577328012,2019-03-01
3.16577272727,2019-04-01
3.90980434783,2019-05-01
6.074135,2019-06-01
8.70344782609,2019-07-01
9.98445454545,2019-08-01
13.07721428571,2019-09-01
15.41658695652,2019-10-01
15.97421428571,2019-11-01
16.54791666667,2019-12-01
17.08177536232,2020-01-01
17.69035,2020-02-01
21.66197727273,2020-03-01
25.0,2020-04-01
25.0,2020-05-01
31.61868181818,2020-06-01
68.82595652174,2020-07-01
81.55480952381,2020-08-01
82.31672727273,2020-09-01
81.36852272727,2020-10-01
81.6805,2020-11-01
81.81456521739,2020-12-01
82.06447619048,2021-01-01
83.4762,2021-02-01
84.0042173913,2021-03-01
84.45134090909,2021-04-01
84.60895238095,2021-05-01
85.09034090909,2021-06-01
85.54077272727,2021-07-01
85.78579545455,2021-08-01
86.48802272727,2021-09-01
91.14011904762,2021-10-01
102.07531818182,2021-11-01
107.95473913044,2021-12-01
111.06638095238,2022-01-01
118.56405,2022-02-01
130.18167391304,2022-03-01
143.77753571429,2022-04-01
218.81151136364,2022-05-01
334.37131818182,2022-06-01
392.67952380952,2022-07-01
479.9957826087,2022-08-01
583.72845454546,2022-09-01
617.86969047619,2022-10-01
640.38425,2022-11-01
662.65359090909,2022-12-01
829.140475,2023-02-01
903.55439130435,2023-03-01
967.528175,2023-04-01
1389.42239130435,2023-05-01
5230.23837878788,2023-06-01
5063.85341269841,2023-07-01
4581.35754347826,2023-08-01
4922.94654761905,2023-09-01
5643.50909090909,2023-10-01
5810.9205,2023-11-01
